tile_path,class,source_image
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\background\DM_Wilson_03_bg_0_0.png,background,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\background\DM_Wilson_03_bg_128_0.png,background,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\background\DM_Wilson_03_bg_256_0.png,background,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1024_3840.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1152_3840.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1280_3840.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1408_3840.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1024_3968.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1152_3968.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1280_3968.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1408_3968.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1024_4096.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1152_4096.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1280_4096.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1408_4096.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1024_4224.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1152_4224.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1280_4224.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_03_1408_4224.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_03.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\background\DM_Wilson_04_bg_0_0.png,background,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\background\DM_Wilson_04_bg_128_0.png,background,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\background\DM_Wilson_04_bg_256_0.png,background,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_384_1024.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
C:\Users\chinn\Downloads\echotrace_prototype\data_prepared\tiles\shipwreck\DM_Wilson_04_512_1024.png,shipwreck,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\train\images\DM_Wilson_04.png
