detection_id,source_image,class,confidence,raw_confidence,shadow_multiplier,bbox_px,geotag,detected_at
Corsair_01.png_0,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.99,0.9927101288327931,1.0,"[1056, 288, 1312, 544]",not_available_no_nav_metadata,2026-09-13T18:47:51.505116Z
Corsair_01.png_1,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.99,0.9916637550659951,1.0,"[1056, 1344, 1312, 1600]",not_available_no_nav_metadata,2026-09-13T18:47:51.505155Z
Corsair_01.png_2,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.99,0.9913051004440054,1.0,"[768, 384, 1024, 640]",not_available_no_nav_metadata,2026-09-13T18:47:51.505170Z
Corsair_01.png_3,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.986,0.9859890746169452,1.0,"[672, 1440, 928, 1696]",not_available_no_nav_metadata,2026-09-13T18:47:51.505181Z
Corsair_01.png_4,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.985,0.9852211450851982,1.0,"[768, 96, 1024, 352]",not_available_no_nav_metadata,2026-09-13T18:47:51.505192Z
Corsair_01.png_5,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.985,0.9852038215156669,1.0,"[672, 768, 928, 1024]",not_available_no_nav_metadata,2026-09-13T18:47:51.505203Z
Corsair_01.png_6,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.981,0.980541210728172,1.0,"[1056, 672, 1312, 928]",not_available_no_nav_metadata,2026-09-13T18:47:51.505214Z
Corsair_01.png_7,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.979,0.9795094789778367,1.0,"[768, 960, 1024, 1216]",not_available_no_nav_metadata,2026-09-13T18:47:51.505224Z
Corsair_01.png_8,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.948,0.9770101051839915,0.971,"[768, 1152, 1024, 1408]",not_available_no_nav_metadata,2026-09-13T18:47:51.505235Z
Corsair_01.png_9,C:\Users\chinn\Downloads\echotrace_prototype\data\AI4Shipwrecks\test\images\Corsair_01.png,shipwreck,0.976,0.9761581666520759,1.0,"[1056, 1056, 1312, 1312]",not_available_no_nav_metadata,2026-09-13T18:47:51.505246Z
